SECURITY_IDENTIFIER,EVENTS,TOTAL_ORDERS,MARKET_ORDERS,LIMIT_ORDERS
20171053,5,2,0,2
20171052,5,2,0,2
20171055,5,2,0,2
20171057,5,2,0,2
20171056,5,2,0,2
20171059,5,2,0,2
20171058,5,2,0,2
1111044,15,5,0,5
1111045,15,5,0,5
1111046,2,1,0,1
1111049,1,1,0,1
8844025,3,1,0,1
8844024,3,1,0,1
8844027,6,2,0,2
1111043,15,5,0,5
1488081,52,16,0,16
1488082,14,4,1,3
8973439,12,4,0,4
20171042,44,14,0,14
20171041,44,14,0,14
20171044,17,6,0,6
20171043,129,40,0,40
20171046,5,2,0,2
20171045,5,2,0,2
20171048,5,2,0,2
20171047,5,2,0,2
20171049,5,2,0,2
1111034,1,1,0,1
1111036,17,5,1,4
1111031,2,1,0,1
1488071,6,2,0,2
20171050,5,2,0,2
2402025,96,42,6,36
20171031,2,1,0,1
2402024,6,2,0,2
20171030,2,1,0,1
2402023,6,2,0,2
20171033,7,3,1,2
2402022,6,2,0,2
20171032,2,1,0,1
2402021,1249,578,109,469
20171035,37,14,0,14
2402020,6,2,0,2
20171034,7,3,1,2
20171037,32,12,0,12
20171036,27,10,0,10
20171039,47,16,0,16
20171038,32,12,0,12
1488065,14,4,1,3
8844001,3,2,1,1
1488066,14,4,1,3
8981039,5,2,0,2
1488067,13,4,1,3
1488068,13,4,1,3
8844002,15,4,1,3
1488061,13,4,0,4
1488062,13,4,0,4
1488063,13,4,0,4
8981038,12,4,0,4
1488064,14,4,1,3
8981037,72,24,0,24
1488060,14,4,0,4
2402029,6,2,0,2
2402028,6,2,0,2
2402027,6,2,0,2
20171040,47,16,0,16
2402026,6,2,0,2
2402014,6,2,0,2
20171020,2,1,0,1
2402013,6,2,0,2
5763003,5,5,2,3
2402012,6,2,0,2
20171022,2,1,0,1
2402011,1255,580,109,471
5763005,21,20,7,13
20171021,2,1,0,1
2402010,6,2,0,2
20171024,2,1,0,1
20171023,2,1,0,1
20171026,2,1,0,1
20171025,2,1,0,1
1616048,1,1,0,1
20171028,2,1,0,1
1616049,4,3,0,3
20171027,2,1,0,1
1616046,1,1,0,1
1111013,15,5,0,5
20171029,2,1,0,1
1111014,15,5,0,5
5763008,6,6,2,4
1488058,13,4,0,4
1111015,15,5,0,5
1488059,13,4,1,3
1488054,3,3,1,2
1488056,13,4,0,4
1488057,1,1,0,1
1488053,13,4,1,3
8981042,4,2,0,2
2402019,6,2,0,2
2402018,6,2,0,2
2402017,6,2,0,2
2402016,6,2,0,2
2402015,96,42,6,36
240201,6,2,0,2
1616051,2,2,0,2
1616052,1,1,0,1
2402089,6,2,0,2
20171011,5,2,0,2
240202,6,2,0,2
2402088,6,2,0,2
