CASE, ORDER, EVENT_ID, ACTIVITY, STATE, TIMESTAMP, CLIENT, SIZE, PRICE, SIDE, [TRADE_ID]
1,00d0PhpNnWPl,1,submit,-,18-02-2019T09:13:07.536000,ECTH01FIX01,100,9,buy,
1,00d0PhpNnWPl,2,new,new,18-02-2019T09:13:07.537557,ECTH01FIX01,100,9,buy,
1,00d0PhpNnWPl,3,trade,filled,18-02-2019T09:13:07.581175,ECTH01FIX01,0,9,buy,0RLPUT8MVE
2,00d0PhpNnWPm,4,submit,-,18-02-2019T09:13:07.544000,ECTH01FIX01,100,8.9,buy,
2,00d0PhpNnWPm,5,new,new,18-02-2019T09:13:07.545718,ECTH01FIX01,100,8.9,buy,
2,00d0PhpNnWPm,6,trade,filled,18-02-2019T09:13:07.581175,ECTH01FIX01,0,8.9,buy,0RLPUT8MVF
3,00d0PhpNnWPn,7,submit,-,18-02-2019T09:13:07.565000,ECTH01FIX01,100,8.57,buy,
3,00d0PhpNnWPn,8,new,new,18-02-2019T09:13:07.566645,ECTH01FIX01,100,8.57,buy,
3,00d0PhpNnWPn,9,trade,filled,18-02-2019T09:13:07.581175,ECTH01FIX01,0,8.57,buy,0RLPUT8MWG
4,00d0PhpNnWPo,10,submit,-,18-02-2019T09:13:07.572000,ECTH01FIX01,100,8.45,buy,
4,00d0PhpNnWPo,11,new,new,18-02-2019T09:13:07.573880,ECTH01FIX01,100,8.45,buy,
4,00d0PhpNnWPo,12,cancel,canceled,18-02-2019T09:13:11.236553,ECTH01FIX01,0,8.45,buy,
5,00d0PhpNnWPp,13,submit,-,18-02-2019T09:13:07.579000,ECTH01FIX01,400,market,sell,
5,00d0PhpNnWPp,14,trade,partially filled,18-02-2019T09:13:07.581175,ECTH01FIX01,300,market,sell,0RLPUT8MVE
5,00d0PhpNnWPp,15,trade,partially filled,18-02-2019T09:13:07.581175,ECTH01FIX01,200,market,sell,0RLPUT8MVF
5,00d0PhpNnWPp,16,trade,partially filled,18-02-2019T09:13:07.581175,ECTH01FIX01,100,market,sell,0RLPUT8MWG
5,00d0PhpNnWPp,17,cancel,canceled,18-02-2019T09:13:11.236553,ECTH01FIX01,0,market,sell,
